Name,description,Level,url,Skill,Technology
Introduction_to_Python_294353,"Learn the basics of Python programming.",2,https://www.coursera.org/learn/python,0.7,Python
Python_Data_Structures_235478,"Understand and implement various data structures in Python.",2,https://www.udacity.com/course/python-data-structures,0.8,Python
Python_for_Data_Science_674921,"Use Python for data analysis and visualization.",3,https://www.edx.org/course/python-for-data-science,0.3,Python
Advanced_Python_Programming_582134,"Dive deep into advanced Python topics and techniques.",3,https://www.udemy.com/course/advanced-python-programming,0.3,Python
Python_Machine_Learning_759346,"Learn how to implement machine learning algorithms using Python.",3,https://www.coursera.org/learn/python-machine-learning,0.3,Machine Learning
Java_Programming_Basics_431287,"Start your journey with Java programming.",2,https://www.coursera.org/learn/java-programming,0.2,Java
Object-Oriented_Programming_in_Java_194735,"Master the principles of object-oriented programming in Java.",2,https://www.udacity.com/course/oop-java,0.5,Java
Java_Data_Structures_and_Algorithms_846291,"Learn data structures and algorithms with Java.",3,https://www.edx.org/course/java-data-structures-algorithms,0.5,Java
Advanced_Java_Programming_503927,"Explore advanced Java programming concepts.",3,https://www.udemy.com/course/advanced-java,0.7,Java
Java_for_Enterprise_Applications_682135,"Develop enterprise applications using Java.",3,https://www.coursera.org/learn/java-enterprise,1.0,Java
Introduction_to_AI_739562,"Understand the basics of artificial intelligence.",2,https://www.coursera.org/learn/ai,0.5,AI
AI_for_Everyone_257846,"Learn the fundamentals of AI and its applications.",2,https://www.udacity.com/course/ai-for-everyone,0.7,AI
Machine_Learning_with_Python_901274,"Implement machine learning algorithms using Python.",3,https://www.edx.org/course/machine-learning-python,0.3,Machine Learning
Deep_Learning_Specialization_492875,"Master deep learning techniques and applications.",3,https://www.udemy.com/course/deep-learning-specialization,0.2,Deep Learning
AI_for_Business_Leaders_634982,"Learn how AI can be applied in business contexts.",3,https://www.coursera.org/learn/ai-business,0.5,AI
Python_for_Senior_Engineers_125679,"Advanced Python techniques for senior engineers.",4,https://www.udemy.com/course/python-senior-engineers,0.7,Python
AI_Strategy_and_Leadership_376529,"Lead AI projects and strategies in your organization.",4,https://www.coursera.org/learn/ai-strategy-leadership,0.7,AI
Advanced_Java_Performance_Tuning_842361,"Optimize and tune Java applications for high performance.",4,https://www.edx.org/course/advanced-java-performance-tuning,0.7,Java
Executive_Data_Science_597213,"Master data science at an executive level.",4,https://www.coursera.org/learn/executive-data-science,0.3,Data Science
AI_in_Business_Decision_Making_748902,"Integrate AI into strategic business decisions.",4,https://www.udacity.com/course/ai-business-decision-making,0.3,AI
